"year","species_name","count_corrected","transect_length","Long_LAEA","Lat_LAEA","transect_id","bms_id"
2008,"Species1",0,2536,4167879,2665044,"Site_20","bms_id2"
2013,"Species1",0.285714285714286,2536,4167879,2665044,"Site_20","bms_id2"
2018,"Species1",1,2536,4167879,2665044,"Site_20","bms_id2"
2004,"Species1",0.142857142857143,2501,4222155,2671204,"Site_21","bms_id2"
2009,"Species1",0.571428571428571,2501,4222155,2671204,"Site_21","bms_id2"
2014,"Species1",0,2501,4222155,2671204,"Site_21","bms_id2"
2019,"Species1",0.142857142857143,2501,4222155,2671204,"Site_21","bms_id2"
2007,"Species1",0,2513,4236474,2558776,"Site_22","bms_id2"
2012,"Species1",0,2513,4236474,2558776,"Site_22","bms_id2"
2017,"Species1",0.142857142857143,2513,4236474,2558776,"Site_22","bms_id2"
2004,"Species1",0,2411,4239895,2662612,"Site_23","bms_id2"
2009,"Species1",0.142857142857143,2411,4239895,2662612,"Site_23","bms_id2"
2015,"Species1",0.142857142857143,2411,4239895,2662612,"Site_23","bms_id2"
2019,"Species1",0,2411,4239895,2662612,"Site_23","bms_id2"
2007,"Species1",0,2344,4262324,2613883,"Site_24","bms_id2"
2012,"Species1",0,2344,4262324,2613883,"Site_24","bms_id2"
2017,"Species1",0.166666666666667,2344,4262324,2613883,"Site_24","bms_id2"
2003,"Species1",0.428571428571429,2501,4292075,2604904,"Site_25","bms_id2"
2008,"Species1",0,2501,4292075,2604904,"Site_25","bms_id2"
2013,"Species1",0,2501,4292075,2604904,"Site_25","bms_id2"
2018,"Species1",0,2501,4292075,2604904,"Site_25","bms_id2"
2014,"Species1",2.25,3842,4647009,3008518,"Site_26","bms_id3"
2012,"Species1",1,500,4384582,3160331,"Site_27","bms_id4"
2013,"Species1",0.454545454545455,500,4384582,3160331,"Site_27","bms_id4"
2014,"Species1",2.41666666666667,500,4384582,3160331,"Site_27","bms_id4"
2015,"Species1",2.66666666666667,500,4384582,3160331,"Site_27","bms_id4"
2012,"Species1",0,500,4450555,3157132,"Site_28","bms_id4"
2013,"Species1",0,500,4450555,3157132,"Site_28","bms_id4"
2014,"Species1",0.555555555555556,500,4450555,3157132,"Site_28","bms_id4"
2015,"Species1",1.07142857142857,500,4450555,3157132,"Site_28","bms_id4"
2016,"Species1",0.153846153846154,500,4450555,3157132,"Site_28","bms_id4"
2017,"Species1",0,500,4450555,3157132,"Site_28","bms_id4"
2018,"Species1",0.0833333333333333,500,4450555,3157132,"Site_28","bms_id4"
2019,"Species1",0,500,4450555,3157132,"Site_28","bms_id4"
2020,"Species1",0,500,4450555,3157132,"Site_28","bms_id4"
2021,"Species1",0.142857142857143,500,4450555,3157132,"Site_28","bms_id4"
2013,"Species1",0,300,4623971,3116802,"Site_29","bms_id4"
2014,"Species1",0,300,4623971,3116802,"Site_29","bms_id4"
2015,"Species1",0.0555555555555556,300,4623971,3116802,"Site_29","bms_id4"
2016,"Species1",0.1,300,4623971,3116802,"Site_29","bms_id4"
2017,"Species1",0.294117647058824,300,4623971,3116802,"Site_29","bms_id4"
2013,"Species1",0.4,500,4154266,3028653,"Site_30","bms_id4"
2014,"Species1",1,500,4154266,3028653,"Site_30","bms_id4"
2015,"Species1",1,500,4154266,3028653,"Site_30","bms_id4"
2016,"Species1",0,500,4154266,3028653,"Site_30","bms_id4"
2007,"Species1",2.17241379310345,500,4341266,2968936,"Site_31","bms_id4"
2008,"Species1",0.151515151515152,500,4341266,2968936,"Site_31","bms_id4"
2010,"Species1",0.1,500,4341266,2968936,"Site_31","bms_id4"
2011,"Species1",0,500,4341266,2968936,"Site_31","bms_id4"
2012,"Species1",0.5,500,4341266,2968936,"Site_31","bms_id4"
2013,"Species1",1.33333333333333,500,4341266,2968936,"Site_31","bms_id4"
2014,"Species1",0.25,500,4341266,2968936,"Site_31","bms_id4"
2015,"Species1",0.857142857142857,500,4341266,2968936,"Site_31","bms_id4"
2016,"Species1",0,500,4341266,2968936,"Site_31","bms_id4"
2017,"Species1",0.105263157894737,500,4341266,2968936,"Site_31","bms_id4"
2018,"Species1",0.333333333333333,500,4341266,2968936,"Site_31","bms_id4"
2020,"Species1",0.0714285714285714,500,4341266,2968936,"Site_31","bms_id4"
2021,"Species1",0,500,4341266,2968936,"Site_31","bms_id4"
2014,"Species1",0.846153846153846,50,4459269,3157561,"Site_32","bms_id4"
2015,"Species1",0.208333333333333,50,4459269,3157561,"Site_32","bms_id4"
2016,"Species1",0.2,50,4459269,3157561,"Site_32","bms_id4"
2017,"Species1",0.5,50,4459269,3157561,"Site_32","bms_id4"
2018,"Species1",0.461538461538462,50,4459269,3157561,"Site_32","bms_id4"
2019,"Species1",0.0769230769230769,50,4459269,3157561,"Site_32","bms_id4"
2020,"Species1",0.0384615384615385,50,4459269,3157561,"Site_32","bms_id4"
2021,"Species1",0.458333333333333,50,4459269,3157561,"Site_32","bms_id4"
2014,"Species1",0.03125,300,4452709,3157531,"Site_33","bms_id4"
2015,"Species1",0.0357142857142857,300,4452709,3157531,"Site_33","bms_id4"
2016,"Species1",0,300,4452709,3157531,"Site_33","bms_id4"
2017,"Species1",0.0526315789473684,300,4452709,3157531,"Site_33","bms_id4"
2018,"Species1",0,300,4452709,3157531,"Site_33","bms_id4"
2019,"Species1",0,300,4452709,3157531,"Site_33","bms_id4"
2020,"Species1",0,300,4452709,3157531,"Site_33","bms_id4"
2021,"Species1",0,300,4452709,3157531,"Site_33","bms_id4"
2014,"Species1",0.0526315789473684,150,4456843,3148791,"Site_34","bms_id4"
2015,"Species1",0.153846153846154,150,4456843,3148791,"Site_34","bms_id4"
2016,"Species1",0,150,4456843,3148791,"Site_34","bms_id4"
2017,"Species1",0.545454545454545,150,4456843,3148791,"Site_34","bms_id4"
2018,"Species1",0.0833333333333333,150,4456843,3148791,"Site_34","bms_id4"
2019,"Species1",0,150,4456843,3148791,"Site_34","bms_id4"
2020,"Species1",0.166666666666667,150,4456843,3148791,"Site_34","bms_id4"
2021,"Species1",0,150,4456843,3148791,"Site_34","bms_id4"
2014,"Species1",1,350,4224654,2929491,"Site_35","bms_id4"
2015,"Species1",0.615384615384615,350,4224654,2929491,"Site_35","bms_id4"
2016,"Species1",0.413793103448276,350,4224654,2929491,"Site_35","bms_id4"
2017,"Species1",0.96,350,4224654,2929491,"Site_35","bms_id4"
2018,"Species1",0.68,350,4224654,2929491,"Site_35","bms_id4"
2019,"Species1",0.285714285714286,350,4224654,2929491,"Site_35","bms_id4"
2020,"Species1",0.176470588235294,350,4224654,2929491,"Site_35","bms_id4"
2021,"Species1",0.482758620689655,350,4224654,2929491,"Site_35","bms_id4"
2014,"Species1",1,250,4519026,3093285,"Site_36","bms_id4"
2015,"Species1",1.65,250,4519026,3093285,"Site_36","bms_id4"
2016,"Species1",2.56521739130435,250,4519026,3093285,"Site_36","bms_id4"
2017,"Species1",3.47058823529412,250,4519026,3093285,"Site_36","bms_id4"
2018,"Species1",2.125,250,4519026,3093285,"Site_36","bms_id4"
2019,"Species1",1.4,250,4519026,3093285,"Site_36","bms_id4"
2020,"Species1",0.636363636363636,250,4519026,3093285,"Site_36","bms_id4"
2021,"Species1",1.28571428571429,250,4519026,3093285,"Site_36","bms_id4"
2015,"Species1",0.153846153846154,200,4093149,3140896,"Site_37","bms_id4"
2016,"Species1",0.3,200,4093149,3140896,"Site_37","bms_id4"
2017,"Species1",0.875,200,4093149,3140896,"Site_37","bms_id4"
2018,"Species1",1.30769230769231,200,4093149,3140896,"Site_37","bms_id4"
2019,"Species1",0,200,4093149,3140896,"Site_37","bms_id4"
2020,"Species1",0,200,4093149,3140896,"Site_37","bms_id4"
2021,"Species1",0.272727272727273,200,4093149,3140896,"Site_37","bms_id4"
2016,"Species1",0.3,500,4322021,3211691,"Site_38","bms_id4"
2017,"Species1",0.555555555555556,500,4322021,3211691,"Site_38","bms_id4"
2018,"Species1",0.444444444444444,500,4322021,3211691,"Site_38","bms_id4"
2019,"Species1",0,500,4322021,3211691,"Site_38","bms_id4"
2015,"Species1",3.91666666666667,50,4508305,3389358,"Site_39","bms_id4"
2016,"Species1",3.42857142857143,50,4508305,3389358,"Site_39","bms_id4"
2017,"Species1",3,50,4508305,3389358,"Site_39","bms_id4"
2018,"Species1",2.75,50,4508305,3389358,"Site_39","bms_id4"
2019,"Species1",2.88235294117647,50,4508305,3389358,"Site_39","bms_id4"
2020,"Species1",4.33333333333333,50,4508305,3389358,"Site_39","bms_id4"
2021,"Species1",8.41666666666667,50,4508305,3389358,"Site_39","bms_id4"
2016,"Species1",0.555555555555556,500,4374548,3253398,"Site_40","bms_id4"
2016,"Species1",0.181818181818182,700,4307933,3174186,"Site_41","bms_id4"
2017,"Species1",0.19047619047619,700,4307933,3174186,"Site_41","bms_id4"
2017,"Species1",0.263157894736842,500,4311221,3156187,"Site_42","bms_id4"
2018,"Species1",0.28,500,4311221,3156187,"Site_42","bms_id4"
2019,"Species1",0.363636363636364,500,4311221,3156187,"Site_42","bms_id4"
2020,"Species1",0.36,500,4311221,3156187,"Site_42","bms_id4"
2021,"Species1",0.333333333333333,500,4311221,3156187,"Site_42","bms_id4"
2018,"Species1",1.0625,500,4236023,2993918,"Site_43","bms_id4"
2019,"Species1",0.3,500,4236023,2993918,"Site_43","bms_id4"
2020,"Species1",0.541666666666667,500,4236023,2993918,"Site_43","bms_id4"
2021,"Species1",0.117647058823529,500,4236023,2993918,"Site_43","bms_id4"
2007,"Species1",1,1250,4111582,2920778,"Site_44","bms_id4"
2008,"Species1",0.5,1250,4111582,2920778,"Site_44","bms_id4"
2009,"Species1",0,1250,4111582,2920778,"Site_44","bms_id4"
2010,"Species1",0.5625,1250,4111582,2920778,"Site_44","bms_id4"
2011,"Species1",0.272727272727273,1250,4111582,2920778,"Site_44","bms_id4"
2012,"Species1",0.2,1250,4111582,2920778,"Site_44","bms_id4"
2013,"Species1",1.08333333333333,1250,4111582,2920778,"Site_44","bms_id4"
2014,"Species1",1.9,1250,4111582,2920778,"Site_44","bms_id4"
2015,"Species1",0.5,1250,4111582,2920778,"Site_44","bms_id4"
2016,"Species1",0.2,1250,4111582,2920778,"Site_44","bms_id4"
2017,"Species1",0.538461538461538,1250,4111582,2920778,"Site_44","bms_id4"
2018,"Species1",0,1250,4111582,2920778,"Site_44","bms_id4"
2006,"Species1",1.45454545454545,600,4257563,2916937,"Site_45","bms_id4"
2007,"Species1",2.8,600,4257563,2916937,"Site_45","bms_id4"
2008,"Species1",0.925925925925926,600,4257563,2916937,"Site_45","bms_id4"
2009,"Species1",1.24,600,4257563,2916937,"Site_45","bms_id4"
2010,"Species1",1.26086956521739,600,4257563,2916937,"Site_45","bms_id4"
2011,"Species1",0.785714285714286,600,4257563,2916937,"Site_45","bms_id4"
2012,"Species1",0.44,600,4257563,2916937,"Site_45","bms_id4"
2013,"Species1",0.826086956521739,600,4257563,2916937,"Site_45","bms_id4"
2014,"Species1",1.07407407407407,600,4257563,2916937,"Site_45","bms_id4"
2015,"Species1",1.36363636363636,600,4257563,2916937,"Site_45","bms_id4"
2019,"Species1",0.263157894736842,400,4200239,2901501,"Site_46","bms_id4"
2020,"Species1",0.176470588235294,400,4200239,2901501,"Site_46","bms_id4"
2021,"Species1",1.06666666666667,400,4200239,2901501,"Site_46","bms_id4"
2005,"Species1",0.35,250,4573478,3118513,"Site_47","bms_id4"
2006,"Species1",0.571428571428571,250,4573478,3118513,"Site_47","bms_id4"
2007,"Species1",0.736842105263158,250,4573478,3118513,"Site_47","bms_id4"
2008,"Species1",0.0735294117647059,250,4573478,3118513,"Site_47","bms_id4"
2009,"Species1",0.254901960784314,250,4573478,3118513,"Site_47","bms_id4"
2010,"Species1",0.390243902439024,250,4573478,3118513,"Site_47","bms_id4"
2011,"Species1",0.649122807017544,250,4573478,3118513,"Site_47","bms_id4"
2012,"Species1",0.228070175438596,250,4573478,3118513,"Site_47","bms_id4"
2013,"Species1",0.23728813559322,250,4573478,3118513,"Site_47","bms_id4"
2014,"Species1",1.32608695652174,250,4573478,3118513,"Site_47","bms_id4"
2015,"Species1",0.703703703703704,250,4573478,3118513,"Site_47","bms_id4"
2016,"Species1",0.903225806451613,250,4573478,3118513,"Site_47","bms_id4"
2017,"Species1",1.68,250,4573478,3118513,"Site_47","bms_id4"
2018,"Species1",2.35714285714286,250,4573478,3118513,"Site_47","bms_id4"
2019,"Species1",0.583333333333333,250,4573478,3118513,"Site_47","bms_id4"
2020,"Species1",0.590909090909091,250,4573478,3118513,"Site_47","bms_id4"
2021,"Species1",1.2,250,4573478,3118513,"Site_47","bms_id4"
2005,"Species1",0,600,4361593,2987581,"Site_48","bms_id4"
2006,"Species1",0.368421052631579,600,4361593,2987581,"Site_48","bms_id4"
2007,"Species1",1.0952380952381,600,4361593,2987581,"Site_48","bms_id4"
2008,"Species1",0.0952380952380952,600,4361593,2987581,"Site_48","bms_id4"
2009,"Species1",1.16666666666667,600,4361593,2987581,"Site_48","bms_id4"
2011,"Species1",0.416666666666667,600,4361593,2987581,"Site_48","bms_id4"
2012,"Species1",0.230769230769231,600,4361593,2987581,"Site_48","bms_id4"
2013,"Species1",0.0909090909090909,600,4361593,2987581,"Site_48","bms_id4"
2014,"Species1",0.461538461538462,600,4361593,2987581,"Site_48","bms_id4"
2015,"Species1",0.428571428571429,600,4361593,2987581,"Site_48","bms_id4"
2006,"Species1",0.0666666666666667,650,4219577,2932872,"Site_49","bms_id4"
2007,"Species1",1.625,650,4219577,2932872,"Site_49","bms_id4"
2009,"Species1",2.58823529411765,650,4219577,2932872,"Site_49","bms_id4"
2010,"Species1",3.27272727272727,650,4219577,2932872,"Site_49","bms_id4"
2005,"Species1",0.166666666666667,950,4516830,2874903,"Site_50","bms_id4"
2006,"Species1",3.64285714285714,950,4516830,2874903,"Site_50","bms_id4"
2007,"Species1",2.26666666666667,950,4516830,2874903,"Site_50","bms_id4"
2008,"Species1",1.76470588235294,950,4516830,2874903,"Site_50","bms_id4"
2006,"Species1",0.72,400,4237939,3308797,"Site_51","bms_id4"
2007,"Species1",2.16666666666667,400,4237939,3308797,"Site_51","bms_id4"
2008,"Species1",1.37037037037037,400,4237939,3308797,"Site_51","bms_id4"
2009,"Species1",4.82142857142857,400,4237939,3308797,"Site_51","bms_id4"
2010,"Species1",16.4166666666667,400,4237939,3308797,"Site_51","bms_id4"
2011,"Species1",5.125,400,4237939,3308797,"Site_51","bms_id4"
2012,"Species1",5.17857142857143,400,4237939,3308797,"Site_51","bms_id4"
2013,"Species1",5.45454545454545,400,4237939,3308797,"Site_51","bms_id4"
2014,"Species1",0.615384615384615,400,4237939,3308797,"Site_51","bms_id4"
2015,"Species1",1.59090909090909,400,4237939,3308797,"Site_51","bms_id4"
2016,"Species1",7,400,4237939,3308797,"Site_51","bms_id4"
2017,"Species1",10.24,400,4237939,3308797,"Site_51","bms_id4"
2018,"Species1",4.82142857142857,400,4237939,3308797,"Site_51","bms_id4"
2019,"Species1",3.38709677419355,400,4237939,3308797,"Site_51","bms_id4"
2020,"Species1",3.13333333333333,400,4237939,3308797,"Site_51","bms_id4"
2021,"Species1",11.0526315789474,400,4237939,3308797,"Site_51","bms_id4"
2005,"Species1",0,250,4461758,2898652,"Site_52","bms_id4"
2006,"Species1",0.032258064516129,250,4461758,2898652,"Site_52","bms_id4"
2007,"Species1",0.0869565217391304,250,4461758,2898652,"Site_52","bms_id4"
2008,"Species1",0.157894736842105,250,4461758,2898652,"Site_52","bms_id4"
2009,"Species1",0.434782608695652,250,4461758,2898652,"Site_52","bms_id4"
2010,"Species1",0.166666666666667,250,4461758,2898652,"Site_52","bms_id4"
2011,"Species1",0,250,4461758,2898652,"Site_52","bms_id4"
2012,"Species1",0.235294117647059,250,4461758,2898652,"Site_52","bms_id4"
2013,"Species1",0,250,4461758,2898652,"Site_52","bms_id4"
2014,"Species1",0,250,4461758,2898652,"Site_52","bms_id4"
2015,"Species1",0.0526315789473684,250,4461758,2898652,"Site_52","bms_id4"
2016,"Species1",0,250,4461758,2898652,"Site_52","bms_id4"
2017,"Species1",0.130434782608696,250,4461758,2898652,"Site_52","bms_id4"
2018,"Species1",0.458333333333333,250,4461758,2898652,"Site_52","bms_id4"
2019,"Species1",0.0454545454545455,250,4461758,2898652,"Site_52","bms_id4"
2020,"Species1",0.0416666666666667,250,4461758,2898652,"Site_52","bms_id4"
2021,"Species1",0.380952380952381,250,4461758,2898652,"Site_52","bms_id4"
2019,"Species1",0.176470588235294,350,4243622,3046124,"Site_53","bms_id4"
2020,"Species1",0.166666666666667,350,4243622,3046124,"Site_53","bms_id4"
2021,"Species1",0.5,350,4243622,3046124,"Site_53","bms_id4"
2020,"Species1",0.1,500,4153301,3028733,"Site_54","bms_id4"
2020,"Species1",0.111111111111111,200,4438005,2775390,"Site_55","bms_id4"
2005,"Species1",0.2,550,4580449,3265022,"Site_56","bms_id4"
2006,"Species1",1.6,200,4233187,3025323,"Site_57","bms_id4"
2007,"Species1",2.20833333333333,200,4233187,3025323,"Site_57","bms_id4"
2008,"Species1",1.14285714285714,200,4233187,3025323,"Site_57","bms_id4"
2009,"Species1",1.75,200,4233187,3025323,"Site_57","bms_id4"
2010,"Species1",1.81818181818182,200,4233187,3025323,"Site_57","bms_id4"
2011,"Species1",0.8,200,4233187,3025323,"Site_57","bms_id4"
2012,"Species1",0.444444444444444,200,4233187,3025323,"Site_57","bms_id4"
2013,"Species1",0.818181818181818,200,4233187,3025323,"Site_57","bms_id4"
2014,"Species1",1.37037037037037,200,4233187,3025323,"Site_57","bms_id4"
2015,"Species1",0.818181818181818,200,4233187,3025323,"Site_57","bms_id4"
2016,"Species1",0.217391304347826,200,4233187,3025323,"Site_57","bms_id4"
2017,"Species1",1.5,200,4233187,3025323,"Site_57","bms_id4"
2018,"Species1",1.41176470588235,200,4233187,3025323,"Site_57","bms_id4"
2019,"Species1",0.733333333333333,200,4233187,3025323,"Site_57","bms_id4"
2005,"Species1",1,150,4455690,3135631,"Site_58","bms_id4"
2006,"Species1",1.96551724137931,150,4455690,3135631,"Site_58","bms_id4"
2007,"Species1",2.88571428571429,150,4455690,3135631,"Site_58","bms_id4"
2008,"Species1",1.62068965517241,150,4455690,3135631,"Site_58","bms_id4"
2009,"Species1",3.80769230769231,150,4455690,3135631,"Site_58","bms_id4"
2010,"Species1",4.36842105263158,150,4455690,3135631,"Site_58","bms_id4"
2011,"Species1",2.61111111111111,150,4455690,3135631,"Site_58","bms_id4"
2012,"Species1",1.38888888888889,150,4455690,3135631,"Site_58","bms_id4"
2013,"Species1",1.57894736842105,150,4455690,3135631,"Site_58","bms_id4"
2014,"Species1",2.08333333333333,150,4455690,3135631,"Site_58","bms_id4"
2015,"Species1",3.05882352941176,150,4455690,3135631,"Site_58","bms_id4"
2016,"Species1",2,150,4455690,3135631,"Site_58","bms_id4"
2017,"Species1",4.16666666666667,150,4455690,3135631,"Site_58","bms_id4"
2018,"Species1",1.73333333333333,150,4455690,3135631,"Site_58","bms_id4"
2019,"Species1",0.266666666666667,150,4455690,3135631,"Site_58","bms_id4"
2020,"Species1",0.545454545454545,150,4455690,3135631,"Site_58","bms_id4"
2021,"Species1",2.9,150,4455690,3135631,"Site_58","bms_id4"
2006,"Species1",1,300,4442199,3011664,"Site_59","bms_id4"
2007,"Species1",4,300,4442199,3011664,"Site_59","bms_id4"
2008,"Species1",0.833333333333333,300,4442199,3011664,"Site_59","bms_id4"
2009,"Species1",1.84615384615385,300,4442199,3011664,"Site_59","bms_id4"
2010,"Species1",1.09090909090909,300,4442199,3011664,"Site_59","bms_id4"
2011,"Species1",0.461538461538462,300,4442199,3011664,"Site_59","bms_id4"
2012,"Species1",0.615384615384615,300,4442199,3011664,"Site_59","bms_id4"
2013,"Species1",0,300,4442199,3011664,"Site_59","bms_id4"
2014,"Species1",0.25,300,4442199,3011664,"Site_59","bms_id4"
2015,"Species1",0.357142857142857,300,4442199,3011664,"Site_59","bms_id4"
2016,"Species1",0.571428571428571,300,4442199,3011664,"Site_59","bms_id4"
2017,"Species1",0.714285714285714,300,4442199,3011664,"Site_59","bms_id4"
2018,"Species1",0.285714285714286,300,4442199,3011664,"Site_59","bms_id4"
2019,"Species1",0.416666666666667,300,4442199,3011664,"Site_59","bms_id4"
2020,"Species1",1.41666666666667,300,4442199,3011664,"Site_59","bms_id4"
2021,"Species1",0.3,300,4442199,3011664,"Site_59","bms_id4"
2006,"Species1",0,250,4368321,2737761,"Site_60","bms_id4"
2007,"Species1",0.2,250,4368321,2737761,"Site_60","bms_id4"
2008,"Species1",0,250,4368321,2737761,"Site_60","bms_id4"
2009,"Species1",0.1,250,4368321,2737761,"Site_60","bms_id4"
2010,"Species1",1.5,250,4368321,2737761,"Site_60","bms_id4"
2011,"Species1",0,250,4368321,2737761,"Site_60","bms_id4"
2012,"Species1",0,250,4368321,2737761,"Site_60","bms_id4"
2013,"Species1",0.125,250,4368321,2737761,"Site_60","bms_id4"
2014,"Species1",0.111111111111111,250,4368321,2737761,"Site_60","bms_id4"
